id,type,ticket_type,attraction,wait_at_attraction,ride_duration,satisfaction_status,fatigue,time,day,time_of_entry,time_left,entered_park,attractions_visited_so_far
V0008,child,online,Ball Pit,0,4.0,100,0,5.73,Monday,1.1,293.81,True,1
V0000,child,online,Carousel,0,4.3,100,0,6.05,Monday,0.81,106.24,True,1
V0001,adult,online,Pirate Ship,0,4.7,100,0,6.59,Monday,0.89,174.18,True,1
V0014,adult,online,Flying Chairs,0,4.0,100,0,7.34,Monday,1.85,151.79,True,1
V0012,child,online,Swing Ride,0,4.2,100,0,7.57,Monday,1.91,121.93,True,1
V0029,child,online,Mirror Maze,0,4.2,100,0,7.82,Monday,2.45,144.92,True,1
V0043,adult,online,Bumper Cars,0,3.5,100,0,8.17,Monday,3.87,150.99,True,1
V0023,adult,online,Roller Coaster,0,5.5,100,0,9.36,Monday,2.36,120.8,True,1
V0022,child,online,Ferris Wheel,0,6.0,100,0,9.62,Monday,2.7,353.92,True,1
V0055,adult,online,Fun House,0,4.5,100,0,10.69,Monday,5.03,141.47,True,1
V0047,adult,online,Carousel,1.49,4.3,100,0,10.93,Monday,4.55,284.22,True,1
V0007,child,online,Ball Pit,4.44,4.0,100,0,11.05,Monday,1.29,184.11,True,1
V0064,adult,online,Water Slide,0,4.5,100,0,11.51,Monday,5.78,328.9,True,1
V0034,child,online,Pirate Ship,3.52,4.7,100,0,12.42,Monday,3.07,246.07,True,1
V0018,adult,online,Flying Chairs,4.9,4.0,100,0,12.53,Monday,2.44,176.41,True,1
V0060,adult,online,Ferris Wheel,0,6.0,100,0,12.63,Monday,5.7,137.23,True,1
V0049,child,online,Bumper Cars,3.57,3.5,100,0,12.91,Monday,4.59,171.38,True,1
V0006,adult,ticket_office,Mirror Maze,1.64,4.2,100,0,13.02,Monday,6.18,313.42,True,1
V0086,child,online,Petting Zoo,0,5.5,100,0,13.05,Monday,7.03,308.35,True,1
V0104,child,online,Swing Ride,0,4.2,100,0,13.68,Monday,8.28,204.41,True,1
V0001,adult,online,Go Karts,0,5.0,94,1,13.72,Monday,0.89,174.18,True,2
V0114,adult,online,Laser Maze,0,3.8,100,0,14.56,Monday,9.98,413.92,True,1
V0050,child,online,Ball Pit,6.71,4.0,98,0,15.9,Monday,4.35,184.89,True,1
V0102,child,online,Mini Train,0,6.5,100,0,16.05,Monday,8.27,248.23,True,1
V0087,child,online,Carousel,3.96,4.3,100,0,16.06,Monday,6.97,385.11,True,1
V0108,child,online,Fun House,1.62,4.5,100,0,16.34,Monday,9.07,217.39,True,1
V0066,child,online,Bumper Cars,7.32,3.5,98,0,16.99,Monday,5.59,158.69,True,1
V0023,adult,online,Drop Tower,0,5.8,88,1,17.24,Monday,2.36,120.8,True,2
V0035,child,online,Flying Chairs,9.56,4.0,98,0,17.59,Monday,2.97,117.86,True,1
V0003,adult,ticket_office,Pirate Ship,8.5,4.7,98,0,17.94,Monday,3.92,114.08,True,1
V0000,child,online,Mirror Maze,5.97,4.2,85,1,18.42,Monday,0.81,106.24,True,2
V0021,adult,ticket_office,Haunted House,0,4.0,100,0,18.92,Monday,14.06,149.56,True,1
V0149,child,online,Swing Ride,2.44,4.2,100,0,19.32,Monday,11.23,199.39,True,1
V0088,child,online,Petting Zoo,5.16,5.5,98,0,19.72,Monday,7.89,217.78,True,1
V0001,adult,online,Laser Maze,0,3.8,83,2,19.94,Monday,0.89,174.18,True,3
V0051,child,online,Ball Pit,10.88,4.0,96,0,20.48,Monday,5.02,230.76,True,1
V0203,adult,online,Water Slide,0,4.5,100,0,20.66,Monday,14.98,154.21,True,1
V0191,adult,online,Virtual Reality Zone,0,6.5,100,0,20.78,Monday,13.5,155.96,True,1
V0047,adult,online,Virtual Reality Zone,0,6.5,87,1,20.99,Monday,4.55,284.22,True,2
V0194,adult,online,4D Cinema,0,6.0,100,0,21.17,Monday,14.31,121.21,True,1
V0105,child,online,Carousel,7.54,4.3,98,0,21.49,Monday,8.53,190.97,True,1
V0056,child,online,Bumper Cars,11.25,3.5,96,0,21.96,Monday,5.74,197.16,True,1
V0145,child,online,Fun House,5.63,4.5,98,0,21.99,Monday,10.71,397.19,True,1
V0032,adult,online,Flying Chairs,14.59,4.0,96,0,22.68,Monday,2.99,142.61,True,1
V0006,adult,ticket_office,Ferris Wheel,0,6.0,93,1,23.35,Monday,6.18,313.42,True,2
V0087,child,online,Ferris Wheel,0,6.0,91,1,23.61,Monday,6.97,385.11,True,2
V0112,child,online,Mini Train,6.93,6.5,98,0,23.68,Monday,9.11,245.1,True,1
V0060,adult,online,Haunted House,3.29,4.0,90,1,23.72,Monday,5.7,137.23,True,2
V0029,child,online,Mirror Maze,9.6,4.2,83,1,23.74,Monday,2.45,144.92,True,2
V0077,adult,online,Pirate Ship,11.61,4.7,96,0,23.81,Monday,6.33,325.96,True,1
V0055,adult,online,Drop Tower,3.56,5.8,94,1,24.37,Monday,5.03,141.47,True,2
V0114,adult,online,Laser Maze,3.39,3.8,87,1,24.46,Monday,9.98,413.92,True,2
V0152,child,online,Swing Ride,7.76,4.2,98,0,24.98,Monday,11.56,263.32,True,1
V0142,child,online,Ball Pit,10.04,4.0,96,0,25.44,Monday,10.43,234.55,True,1
V0018,adult,online,Water Slide,5.12,4.5,86,1,26.09,Monday,2.44,176.41,True,2
V0078,child,online,Bumper Cars,15.32,3.5,94,0,26.13,Monday,6.64,251.6,True,1
V0003,adult,ticket_office,Roller Coaster,0,5.5,85,1,26.33,Monday,3.92,114.08,True,2
